"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"no complaint",4370,71,197.64,17,"active","non-churn"
"no complaint",318,5,46.035,4,"non-active","non-churn"
"no complaint",2453,60,1536.52,24,"active","non-churn"
"no complaint",4198,66,240.02,35,"active","non-churn"
"no complaint",2393,58,145.805,33,"active","non-churn"
"no complaint",3775,82,282.28,28,"active","non-churn"
"no complaint",2360,39,1235.96,18,"active","non-churn"
"no complaint",9115,121,945.44,43,"active","non-churn"
"no complaint",13773,169,557.68,44,"active","non-churn"
"no complaint",4515,83,191.92,25,"active","non-churn"
"no complaint",5918,95,268.52,12,"active","non-churn"
"no complaint",2238,54,123.68,17,"non-active","non-churn"
"no complaint",15140,225,830.6,32,"active","non-churn"
"no complaint",3095,27,2056.88,8,"active","non-churn"
"no complaint",15485,182,1380.015,30,"active","non-churn"
"no complaint",6500,86,1007.44,26,"active","non-churn"
"no complaint",875,14,40.005,11,"non-active","churn"
"no complaint",710,14,80.96,8,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7508,127,2071.575,43,"active","non-churn"
"no complaint",11465,154,317.975,47,"active","non-churn"
"no complaint",6718,75,791.685,37,"active","non-churn"
"complaint",955,47,117.09,17,"non-active","churn"
"complaint",10435,93,159.42,42,"active","non-churn"
"complaint",5818,98,383.22,24,"active","churn"
"no complaint",2840,22,114.48,14,"active","non-churn"
"no complaint",2990,41,157.24,16,"non-active","churn"
"complaint",2268,44,228.48,31,"non-active","churn"
"no complaint",133,2,5.4,2,"non-active","churn"
"no complaint",1668,25,67.72,6,"active","non-churn"
"no complaint",6785,97,124.23,22,"active","non-churn"
"complaint",628,7,38.375,4,"non-active","churn"
"no complaint",338,4,11.13,2,"active","non-churn"
"no complaint",16075,238,734.085,80,"active","non-churn"
"no complaint",6965,116,1538.145,33,"active","non-churn"
"no complaint",3718,82,180,28,"active","non-churn"
"no complaint",1665,44,220.36,20,"non-active","non-churn"
"no complaint",2780,53,914.985,23,"active","non-churn"
"no complaint",1315,36,929.295,11,"active","non-churn"
"no complaint",1568,39,115.175,68,"active","non-churn"
"no complaint",700,25,77.625,7,"non-active","non-churn"
"no complaint",825,10,73.375,3,"non-active","churn"
"no complaint",1225,32,142.065,13,"active","non-churn"
"no complaint",3225,61,163.44,23,"active","non-churn"
"no complaint",1695,26,203.445,14,"active","non-churn"
"no complaint",6393,141,676.53,42,"active","non-churn"
"no complaint",8933,171,410.1,40,"active","non-churn"
"no complaint",2853,45,239.92,19,"active","non-churn"
"no complaint",4390,40,1037.2,10,"active","non-churn"
"no complaint",1488,19,60.28,7,"active","churn"
"no complaint",4430,74,220.16,19,"active","non-churn"
"no complaint",378,8,63.44,6,"active","non-churn"
"no complaint",2513,63,1559.04,26,"active","non-churn"
"no complaint",4258,69,270.985,37,"active","non-churn"
"no complaint",2453,61,144.63,35,"active","non-churn"
"no complaint",3835,85,304.8,30,"active","non-churn"
"no complaint",2420,42,1258.48,20,"active","non-churn"
"no complaint",9175,124,967.96,45,"active","non-churn"
"no complaint",13833,172,580.2,46,"active","non-churn"
"no complaint",4575,86,214.44,27,"active","non-churn"
"no complaint",5978,98,291.04,14,"active","non-churn"
"no complaint",2298,57,146.2,19,"active","non-churn"
"no complaint",15200,228,853.12,34,"active","non-churn"
"no complaint",3155,30,2079.4,10,"active","non-churn"
"no complaint",15545,185,1405.35,32,"active","non-churn"
"no complaint",6560,89,1029.96,28,"active","non-churn"
"no complaint",935,17,65.34,13,"active","non-churn"
"no complaint",770,17,103.48,10,"active","non-churn"
"complaint",60,3,25.335,2,"active","churn"
"no complaint",7568,130,1863.92,45,"active","non-churn"
"no complaint",11525,157,332.05,49,"active","non-churn"
"no complaint",6778,78,817.02,39,"active","non-churn"
"complaint",1015,50,126.6,19,"active","churn"
"complaint",10495,96,167.865,44,"active","non-churn"
"no complaint",5878,101,408.555,26,"active","non-churn"
"no complaint",2900,25,137,16,"active","non-churn"
"no complaint",3050,44,179.76,18,"active","churn"
"complaint",2328,47,251,33,"active","churn"
"no complaint",193,5,27.92,4,"active","churn"
"no complaint",1728,28,56.4,8,"active","non-churn"
"no complaint",6845,100,132.675,24,"active","non-churn"
"no complaint",688,10,52.45,6,"active","churn"
"no complaint",398,7,19.575,4,"active","non-churn"
"no complaint",16135,241,759.42,82,"active","non-churn"
"complaint",7025,119,1389.76,35,"active","non-churn"
"no complaint",3778,85,182.52,30,"active","non-churn"
"no complaint",1725,47,242.88,22,"active","non-churn"
"no complaint",2840,56,940.32,25,"active","non-churn"
