"alcohol","density","free.sulfur.dioxide","residual.sugar","volatile.acidity","total.sulfur.dioxide","quality"
8.8,1.001,45,20.7,0.27,170,1
9.5,0.994,14,1.6,0.3,132,1
10.1,0.9951,30,6.9,0.28,97,1
9.9,0.9956,47,8.5,0.23,186,1
9.9,0.9956,47,8.5,0.23,186,1
10.1,0.9951,30,6.9,0.28,97,1
9.6,0.9949,30,7,0.32,136,1
8.8,1.001,45,20.7,0.27,170,1
9.5,0.994,14,1.6,0.3,132,1
11,0.9938,28,1.5,0.22,129,1
12,0.9908,11,1.45,0.27,63,0
9.7,0.9947,17,4.2,0.23,109,0
10.8,0.992,16,1.2,0.18,75,0
12.4,0.9912,48,1.5,0.16,143,1
9.7,1.0002,41,19.25,0.42,172,0
11.4,0.9914,28,1.5,0.17,112,1
9.6,0.9928,30,1.1,0.48,99,1
12.8,0.9892,29,1.2,0.66,75,1
11.3,0.9917,17,1.1,0.34,171,1
9.5,0.9955,34,7.5,0.31,133,0
12.8,0.9892,29,1.2,0.66,75,1
11,0.9912,19,2.9,0.31,102,1
10.5,0.993,41,1.7,0.26,122,1
9.3,0.9937,25,1.5,0.67,168,0
10,0.9951,16,1.3,0.27,142,1
10.4,0.9955,56,9,0.25,245,1
10,0.993,35,1,0.24,146,1
10.5,0.9961,32,8.7,0.28,141,1
11.6,0.9914,17,1.1,0.27,132,1
12.3,0.9906,37,2,0.32,114,1
10,0.9974,20,10.4,0.24,142,1
10.2,0.9934,7,1.1,0.14,47,1
10.8,0.992,31,2.05,0.25,100,1
9,0.9939,43,1.5,0.12,117,1
10.2,0.9962,22,14.95,0.27,179,0
12.8,0.9905,21,1.7,0.28,123,0
10,0.9934,25,5.4,0.39,149,0
11.2,0.9906,38,1.2,0.33,138,1
8.6,0.9999,45,17.95,0.24,149,0
8.6,0.9999,45,17.95,0.24,149,0
9.4,0.9937,63,2.5,0.23,158,1
9.4,0.9937,63,2.9,0.24,157,1
9.8,0.9954,28,7.4,0.31,160,1
9.5,0.9934,33,1.4,0.24,152,1
9.5,0.9934,33,1.4,0.23,154,1
10,0.9931,38,1.4,0.18,167,1
9.8,0.994,63,4.4,0.45,206,0
9.8,0.9939,62,4.4,0.46,207,0
9.8,0.9954,28,7.4,0.31,160,1
9.8,0.995,32,5,0.19,150,0
11.7,0.9917,31,1.6,0.19,173,1
11,0.9914,39,1.1,0.25,124,1
10.9,0.991,21,1.1,0.16,82,1
10.9,0.9911,39,1,0.18,108,1
9.1,0.993,38,0.9,0.2,132,1
11,0.9908,29,1.3,0.25,191,1
9.6,0.9962,37,11.9,0.21,213,1
8.9,0.9972,50,12.4,0.19,147,1
10.2,0.9931,25,4.6,0.38,78,1
9.9,0.9926,44,1.2,0.2,111,1
8.6,0.9951,30,4.9,0.22,123,1
8.9,0.9972,50,12.4,0.19,147,1
10.5,0.991,17,1.1,0.47,151,0
10.2,0.9931,25,4.6,0.38,78,1
10.3,0.9927,31,1.4,0.24,122,1
9.1,0.9934,29,1.2,0.35,120,0
12.6,0.9903,27,6.4,0.26,124,1
9.8,0.992,81,1.2,0.25,174,0
10.7,0.9926,30,2.1,0.23,96,1
9.5,0.9962,21,10.1,0.24,105,0
9,0.9956,48,7.8,0.27,244,1
9.5,0.9958,50.5,4.6,0.3,238.5,0
10,0.9964,31,4.8,0.27,201,0
9.1,0.9941,9,1,0.23,72,1
10.7,0.9926,30,2.1,0.23,96,1
9.5,0.9962,21,10.1,0.24,105,0
12.7,0.9898,31,1.4,0.18,87,1
12,0.9912,20,1.3,0.32,69,1
9.3,0.9961,26,8.8,0.18,103,0
9,0.9949,21,5.4,0.54,105,0
10.6,0.9929,34,1.4,0.22,114,1
9.2,0.9985,51,16,0.2,166,1
10,0.9946,47,6.1,0.34,164,0
