"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.637253370815763	1	1	"Churn"	"Yes"	0.1
2	0.647459849229761	1	1	"Churn"	"Yes"	0.1
3	0.653774601554081	1	1	"Churn"	"Yes"	0.1
4	0.665056818181818	1	1	"Churn"	"Yes"	0.1
5	0.680389644647097	1	1	"Churn"	"Yes"	0.1
6	0.667626643036479	1	1	"Churn"	"Yes"	0.1
7	0.651846492814627	1	1	"Churn"	"Yes"	0.1
8	0.694515342294822	1	1	"Churn"	"Yes"	0.1
9	0.711987466085827	1	1	"Churn"	"Yes"	0.1
10	0.705854535136669	1	1	"Churn"	"Yes"	0.1
11	0.693928661775866	1	1	"Churn"	"Yes"	0.1
12	0.661392854835584	1	1	"Churn"	"Yes"	0.1
13	0.672224770912	1	1	"Churn"	"Yes"	0.1
14	0.660970612410211	1	1	"Churn"	"Yes"	0.1
15	0.648555871212121	1	1	"Churn"	"Yes"	0.1
16	0.669889234356782	1	1	"Churn"	"Yes"	0.1
17	0.682958743842365	1	1	"Churn"	"Yes"	0.1
18	0.681327779688435	1	1	"Churn"	"Yes"	0.1
19	0.684707816847964	1	1	"Churn"	"Yes"	0.1
20	0.691614532514492	1	1	"Churn"	"Yes"	0.1
21	0.66610319858054	1	1	"Churn"	"Yes"	0.1
22	0.67872119322697	1	1	"Churn"	"Yes"	0.1
23	0.678151043349054	1	1	"Churn"	"Yes"	0.1
24	0.644393209546159	1	1	"Churn"	"Yes"	0.1
25	0.702720965309201	1	1	"Churn"	"Yes"	0.1
26	0.709882425816289	1	1	"Churn"	"Yes"	0.1
27	0.651945577282815	1	1	"Churn"	"Yes"	0.1
28	0.63931494037877	1	1	"Churn"	"Yes"	0.1
29	0.647731937602627	1	1	"Churn"	"Yes"	0.1
30	0.67654403567447	1	1	"Churn"	"Yes"	0.1
1	0.68947477827051	2	2	"Churn"	"Yes"	0.1
2	0.685703185703186	2	2	"Churn"	"Yes"	0.1
3	0.686686261173727	2	2	"Churn"	"Yes"	0.1
4	0.679231337767923	2	2	"Churn"	"Yes"	0.1
5	0.68792629159287	2	2	"Churn"	"Yes"	0.1
6	0.706514039969643	2	2	"Churn"	"Yes"	0.1
7	0.707765359519349	2	2	"Churn"	"Yes"	0.1
8	0.68829074976616	2	2	"Churn"	"Yes"	0.1
9	0.682009441707718	2	2	"Churn"	"Yes"	0.1
10	0.715284280936455	2	2	"Churn"	"Yes"	0.1
11	0.667635249366019	2	2	"Churn"	"Yes"	0.1
12	0.695955882352941	2	2	"Churn"	"Yes"	0.1
13	0.679888923745454	2	2	"Churn"	"Yes"	0.1
14	0.668779110629326	2	2	"Churn"	"Yes"	0.1
15	0.664295244822676	2	2	"Churn"	"Yes"	0.1
16	0.850354452813469	2	2	"Churn"	"Yes"	0.1
17	0.690328465033056	2	2	"Churn"	"Yes"	0.1
18	0.684318862275449	2	2	"Churn"	"Yes"	0.1
19	0.665360125975626	2	2	"Churn"	"Yes"	0.1
20	0.650235803346469	2	2	"Churn"	"Yes"	0.1
21	0.689476693628122	2	2	"Churn"	"Yes"	0.1
22	0.643205574912892	2	2	"Churn"	"Yes"	0.1
23	0.65914525721994	2	2	"Churn"	"Yes"	0.1
24	0.663318596968519	2	2	"Churn"	"Yes"	0.1
25	0.691176832570275	2	2	"Churn"	"Yes"	0.1
26	0.645093032177624	2	2	"Churn"	"Yes"	0.1
27	0.671716440422323	2	2	"Churn"	"Yes"	0.1
28	0.679799273969678	2	2	"Churn"	"Yes"	0.1
29	0.634264175680105	2	2	"Churn"	"Yes"	0.1
30	0.690835385878489	2	2	"Churn"	"Yes"	0.1
1	0.678492647058824	2	3	"Churn"	"Yes"	0.1
2	0.679250002978069	3	3	"Churn"	"Yes"	0.1
3	0.657821382725105	3	3	"Churn"	"Yes"	0.1
4	0.878902316213494	3	3	"Churn"	"Yes"	0.1
5	0.697685755336617	2	3	"Churn"	"Yes"	0.1
6	0.660573152337858	2	3	"Churn"	"Yes"	0.1
7	0.861568042243012	3	3	"Churn"	"Yes"	0.1
8	0.858126399083763	3	3	"Churn"	"Yes"	0.1
9	0.875155903547672	3	3	"Churn"	"Yes"	0.1
