"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
1	0.686542117338578	1	1	"Churn"	0
2	0.681376597836775	1	1	"Churn"	0
3	0.691577335375191	1	1	"Churn"	0
4	0.690469909937069	1	1	"Churn"	0
5	0.671703659042092	1	1	"Churn"	0
6	0.712458521870287	1	1	"Churn"	0
7	0.672869318181818	1	1	"Churn"	0
8	0.701266231668712	1	1	"Churn"	0
9	0.703243022915154	1	1	"Churn"	0
10	0.687728646880992	1	1	"Churn"	0
11	0.5	0	1	"Churn"	0
12	0.676954910974265	1	1	"Churn"	0
13	0.738938382048645	1	1	"Churn"	0
14	0.725860747886599	1	1	"Churn"	0
15	0.698829431438127	1	1	"Churn"	0
16	0.675748865556842	1	1	"Churn"	0
17	0.719436127744511	1	1	"Churn"	0
18	0.673284419507984	1	1	"Churn"	0
19	0.698774509803922	1	1	"Churn"	0
20	0.69180602006689	1	1	"Churn"	0
21	0.667955125201728	1	1	"Churn"	0
22	0.713565340909091	1	1	"Churn"	0
23	0.681412746367429	1	1	"Churn"	0
24	0.686718624158995	1	1	"Churn"	0
25	0.687046138473515	1	1	"Churn"	0
26	0.707358089881192	1	1	"Churn"	0
27	0.725918476803433	1	1	"Churn"	0
28	0.684469748596776	1	1	"Churn"	0
29	0.697839103174883	1	1	"Churn"	0
30	0.687091503267974	1	1	"Churn"	0
1	0.693605330839373	2	2	"Churn"	0
2	0.65927750410509	2	2	"Churn"	0
3	0.689081782053964	2	2	"Churn"	0
4	0.712115654991136	2	2	"Churn"	0
5	0.689021956087824	2	2	"Churn"	0
6	0.708474576271186	2	2	"Churn"	0
7	0.698139331519627	2	2	"Churn"	0
8	0.669449382457853	2	2	"Churn"	0
9	0.717705499417023	2	2	"Churn"	0
10	0.668876796280642	2	2	"Churn"	0
11	0.688752276867031	2	2	"Churn"	0
12	0.689361492640181	2	2	"Churn"	0
13	0.688975141626157	2	2	"Churn"	0
14	0.69337835211815	2	2	"Churn"	0
15	0.720612626601263	2	2	"Churn"	0
16	0.676514193520255	2	2	"Churn"	0
17	0.699523420479303	2	2	"Churn"	0
18	0.676422969896281	2	2	"Churn"	0
19	0.888811899482631	2	2	"Churn"	0
