"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"
1	0.709751996637243	1	1	"Churn"
2	0.667058022800749	1	1	"Churn"
3	0.731739332504302	1	1	"Churn"
4	0.657177067013133	1	1	"Churn"
5	0.674500946936279	1	1	"Churn"
6	0.659229236983345	1	1	"Churn"
7	0.712083338963127	1	1	"Churn"
8	0.680337517191817	1	1	"Churn"
9	0.681576501864465	1	1	"Churn"
10	0.710411524995695	1	1	"Churn"
11	0.669058141537049	1	1	"Churn"
12	0.682335227205891	1	1	"Churn"
13	0.68506348451439	1	1	"Churn"
14	0.670831449060017	1	1	"Churn"
15	0.680681818181818	1	1	"Churn"
16	0.694636263367381	1	1	"Churn"
17	0.696521739130435	1	1	"Churn"
18	0.654432176458027	1	1	"Churn"
19	0.691635586229333	1	1	"Churn"
20	0.707108491842232	1	1	"Churn"
21	0.681707274565164	1	1	"Churn"
22	0.692625368731563	1	1	"Churn"
23	0.694100294985251	1	1	"Churn"
24	0.701183891099755	1	1	"Churn"
25	0.697362028760202	1	1	"Churn"
26	0.660662972085386	1	1	"Churn"
27	0.701966817496229	1	1	"Churn"
28	0.688568208488736	1	1	"Churn"
29	0.704401720212497	1	1	"Churn"
30	0.705752840909091	1	1	"Churn"
1	0.668682715211519	2	2	"Churn"
2	0.723655215458494	2	2	"Churn"
3	0.697586726998492	2	2	"Churn"
4	0.691015898994622	2	2	"Churn"
5	0.672071849525356	2	2	"Churn"
6	0.714380530973451	2	2	"Churn"
7	0.721389678030303	2	2	"Churn"
8	0.709418883961567	2	2	"Churn"
9	0.704626460105163	2	2	"Churn"
10	0.711976856984479	2	2	"Churn"
11	0.70311825636599	2	2	"Churn"
12	0.703160227750392	2	2	"Churn"
13	0.678963762734035	2	2	"Churn"
14	0.702297170914192	2	2	"Churn"
15	0.698085873484104	2	2	"Churn"
16	0.706957961570991	2	2	"Churn"
17	0.704933110367893	2	2	"Churn"
18	0.690084968518858	2	2	"Churn"
19	0.698912198912199	2	2	"Churn"
20	0.720729866208548	2	2	"Churn"
21	0.716966067864271	2	2	"Churn"
22	0.702603243832629	2	2	"Churn"
23	0.712616293613828	2	2	"Churn"
24	0.689302043193279	2	2	"Churn"
25	0.680565001943257	2	2	"Churn"
26	0.705205701912667	2	2	"Churn"
27	0.716186808484626	2	2	"Churn"
28	0.702493477083641	2	2	"Churn"
29	0.70872895986189	2	2	"Churn"
30	0.692053303991687	2	2	"Churn"
1	0.703368212816909	2	3	"Churn"
2	0.705819295558959	2	3	"Churn"
3	0.882741491655449	3	3	"Churn"
4	0.698854429664242	2	3	"Churn"
5	0.895819535942928	3	3	"Churn"
6	0.699228508022819	2	3	"Churn"
7	0.722484611742424	2	3	"Churn"
8	0.902325696655804	3	3	"Churn"
9	0.698328267477204	2	3	"Churn"
10	0.870372496125811	3	3	"Churn"
11	0.696474573878675	2	3	"Churn"
12	0.706409072249589	2	3	"Churn"
13	0.889437689969605	3	3	"Churn"
14	0.899930465640435	3	3	"Churn"
15	0.721019262749446	2	3	"Churn"
16	0.883375742154368	3	3	"Churn"
17	0.875952770633622	3	3	"Churn"
18	0.706934249570514	2	3	"Churn"
19	0.875508996212121	3	3	"Churn"
20	0.691791814742634	2	3	"Churn"
21	0.890418427150061	3	3	"Churn"
22	0.698837209302326	2	3	"Churn"
23	0.870294599018003	3	3	"Churn"
24	0.906111316568047	3	3	"Churn"
25	0.899201596806387	3	3	"Churn"
26	0.695427650539342	3	3	"Churn"
27	0.713797405189621	3	3	"Churn"
28	0.731410583631104	2	3	"Churn"
29	0.7293233548515	2	3	"Churn"
30	0.716509197133598	2	3	"Churn"
1	0.928115858629454	4	4	"Churn"
2	0.929161396407791	4	4	"Churn"
3	0.927417012327605	4	4	"Churn"
4	0.889076349410111	4	4	"Churn"
5	0.895285120373569	4	4	"Churn"
6	0.903206168831169	4	4	"Churn"
7	0.913567012648177	4	4	"Churn"
8	0.920265460030166	4	4	"Churn"
9	0.918253800675676	4	4	"Churn"
10	0.918154713503551	4	4	"Churn"
11	0.905563446969697	4	4	"Churn"
12	0.912873013673319	4	4	"Churn"
13	0.927621861152142	4	4	"Churn"
14	0.90521747470388	4	4	"Churn"
15	0.905544494720965	4	4	"Churn"
16	0.922477876106195	4	4	"Churn"
17	0.934949293555851	4	4	"Churn"
18	0.921201516073701	4	4	"Churn"
19	0.902486092415453	4	4	"Churn"
20	0.905379954650774	4	4	"Churn"
21	0.915282085364053	4	4	"Churn"
22	0.909145861448493	4	4	"Churn"
23	0.909828054298643	4	4	"Churn"
24	0.920321206161914	4	4	"Churn"
25	0.908501238969805	4	4	"Churn"
26	0.886220211161388	4	4	"Churn"
27	0.896592189805617	4	4	"Churn"
28	0.934941093785365	4	4	"Churn"
29	0.951871433366902	4	4	"Churn"
30	0.89945042815481	4	4	"Churn"
1	0.909923032657172	5	5	"Churn"
2	0.924205128205128	5	5	"Churn"
3	0.896843593564905	5	5	"Churn"
4	0.909616361788618	5	5	"Churn"
5	0.923151121619555	5	5	"Churn"
6	0.908475909537856	5	5	"Churn"
7	0.935122242098986	5	5	"Churn"
8	0.93648016248782	5	5	"Churn"
9	0.892905097587877	5	5	"Churn"
10	0.908322939763489	5	5	"Churn"
11	0.925409226190476	5	5	"Churn"
12	0.927478409555553	5	5	"Churn"
13	0.915606125379548	5	5	"Churn"
14	0.953593882079459	5	5	"Churn"
15	0.913116138763198	5	5	"Churn"
16	0.906328808446455	5	5	"Churn"
17	0.901666774339428	5	5	"Churn"
