"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.687479811357323	1	1	"Churn"	"Yes"	0
2	0.714031548259081	1	1	"Churn"	"Yes"	0
3	0.702403238047053	1	1	"Churn"	"Yes"	0
4	0.699580656373687	1	1	"Churn"	"Yes"	0
5	0.700340691150369	1	1	"Churn"	"Yes"	0
6	0.691215226939971	1	1	"Churn"	"Yes"	0
7	0.665794679577281	1	1	"Churn"	"Yes"	0
8	0.697854291417166	1	1	"Churn"	"Yes"	0
9	0.685559866962306	1	1	"Churn"	"Yes"	0
10	0.656847935548842	1	1	"Churn"	"Yes"	0
11	0.692657979543225	1	1	"Churn"	"Yes"	0
12	0.721376442953863	1	1	"Churn"	"Yes"	0
13	0.696062689557687	1	1	"Churn"	"Yes"	0
14	0.698424796747967	1	1	"Churn"	"Yes"	0
15	0.682429272854805	1	1	"Churn"	"Yes"	0
16	0.670196078431373	1	1	"Churn"	"Yes"	0
17	0.65884222752002	1	1	"Churn"	"Yes"	0
18	0.717353908423982	1	1	"Churn"	"Yes"	0
19	0.684855538819663	1	1	"Churn"	"Yes"	0
20	0.704122839410581	1	1	"Churn"	"Yes"	0
21	0.69009382894262	1	1	"Churn"	"Yes"	0
22	0.724200849963045	1	1	"Churn"	"Yes"	0
23	0.68384394116391	1	1	"Churn"	"Yes"	0
24	0.716413029259146	1	1	"Churn"	"Yes"	0
25	0.696659774528627	1	1	"Churn"	"Yes"	0
26	0.689208183663908	1	1	"Churn"	"Yes"	0
27	0.670804695978164	1	1	"Churn"	"Yes"	0
28	0.708123177882963	1	1	"Churn"	"Yes"	0
29	0.665966817496229	1	1	"Churn"	"Yes"	0
30	0.701607677730913	1	1	"Churn"	"Yes"	0
1	0.694199243379571	2	2	"Churn"	"Yes"	0
2	0.678138659879378	2	2	"Churn"	"Yes"	0
3	0.716081861729532	2	2	"Churn"	"Yes"	0
4	0.711323411102172	2	2	"Churn"	"Yes"	0
5	0.70903665407936	2	2	"Churn"	"Yes"	0
6	0.689620392444526	2	2	"Churn"	"Yes"	0
7	0.705250737463127	2	2	"Churn"	"Yes"	0
8	0.687915742793792	2	2	"Churn"	"Yes"	0
9	0.676837201234094	2	2	"Churn"	"Yes"	0
10	0.709913638222211	2	2	"Churn"	"Yes"	0
11	0.710696352089795	2	2	"Churn"	"Yes"	0
12	0.697778310283445	2	2	"Churn"	"Yes"	0
13	0.677239824787665	2	2	"Churn"	"Yes"	0
14	0.678907982261641	2	2	"Churn"	"Yes"	0
15	0.704003370215719	2	2	"Churn"	"Yes"	0
16	0.680361990950226	2	2	"Churn"	"Yes"	0
17	0.708730345571016	2	2	"Churn"	"Yes"	0
18	0.72480797890634	2	2	"Churn"	"Yes"	0
19	0.684266233446561	2	2	"Churn"	"Yes"	0
20	0.713393898173339	2	2	"Churn"	"Yes"	0
21	0.704157449946118	2	2	"Churn"	"Yes"	0
22	0.685607738886427	2	2	"Churn"	"Yes"	0
23	0.675604845914684	2	2	"Churn"	"Yes"	0
24	0.692365269461078	2	2	"Churn"	"Yes"	0
25	0.703905384233253	2	2	"Churn"	"Yes"	0
26	0.668305887377373	2	2	"Churn"	"Yes"	0
27	0.704749679075738	2	2	"Churn"	"Yes"	0
28	0.714139006051715	2	2	"Churn"	"Yes"	0
29	0.668275677125235	2	2	"Churn"	"Yes"	0
30	0.668150637472284	2	2	"Churn"	"Yes"	0
1	0.692351578031078	2	3	"Churn"	"Yes"	0
2	0.895622276688453	3	3	"Churn"	"Yes"	0
3	0.692558203991131	2	3	"Churn"	"Yes"	0
4	0.716195621197666	2	3	"Churn"	"Yes"	0
5	0.732109891177614	2	3	"Churn"	"Yes"	0
6	0.843203458997279	3	3	"Churn"	"Yes"	0
7	0.891366515837104	3	3	"Churn"	"Yes"	0
8	0.7267498013326	2	3	"Churn"	"Yes"	0
9	0.888436655566394	3	3	"Churn"	"Yes"	0
10	0.90399861453202	3	3	"Churn"	"Yes"	0
11	0.684813912272929	3	3	"Churn"	"Yes"	0
12	0.730265486725664	2	3	"Churn"	"Yes"	0
13	0.748484848484849	2	3	"Churn"	"Yes"	0
